B Cells	CD4 T Cells	CD8 T Cells	Dendritic Cells	Eosinophils	Macrophages	Mast Cells	Monocytes	Neutrophils	NK Cells
Cxcl3	0	0	0	1065	73.5	1249	1	0	5133.5	0
Ear6	2	0	0	850.5	270152.5	2.5	0	20	21124	0
Camp	2684.5	1	1	3198.5	45.5	7.5	2.5	18	70505	35
Scart1	1.5	24	373	257	10.5	3	0	2	0.5	48
Prg3	8	0	0	514.5	52692	0	0	11	2701	0
Epx	19	0	1	1083.5	416835.5	1.5	0	29	34526.5	0
Ear1	4	0	1	935	436077	4	0.5	85	27663.5	2
Ear2	69	7	4	1254	257902.5	311.5	6	188	21269.5	3
Alox15	42	3	3	476.5	87055.5	27.5	2	64	12716	0
Gm8113	10.5	2	4	600.5	38248	9.5	8	34	4246.5	0
Cebpe	118.5	0	0	312	27820.5	12	3.5	19	7612.5	16
F730016J06Rik	92.5	0	0	257	17191.5	9.5	0.5	677	2832	0
Siglecf	16.5	1	0	202	17366	11.5	45.5	51	2371	2
9830107B12Rik	41.5	0	0	59	5323.5	11.5	0	157	2732	0
Padi4	241.5	36	11	500	51123	152	3	518	15368.5	48
Ly6a2	336	3	5	384	21609	7.5	0	1796	20349	3058
Prss57	34	0	0	81	2877	5	0	98	934	4
Gapt	672.5	27	6	749.5	62513	138.5	35.5	1207	9919.5	8
Ly6g	121.5	0	0	91.5	3045	4.5	0.5	4	3139.5	21
Muc6	2.5	0	1	28.5	2505	125	23	2607	121.5	37
Olr1	29.5	0	0	305	4962.5	1106	10	791	5338.5	0
Ccr3	71.5	22	11	647.5	16781	218	195	20	1003	43
C1rl	23	1	0	40.5	1913.5	144	0	666	910	5
Ngp	9561	4	4	12368.5	32671	12	2.5	317	723270.5	126
Gm6209	1	0	1	217.5	2657.5	628	278	42	1091	2
Cxcl2	4.5	2	0	3024	127.5	19022	0	7	51240.5	0
Lyz1	7.5	4	2	178	0.5	5360	1.5	105	24	0
Acod1	5	2	0	3985.5	354	4018.5	1.5	1	40034.5	32
Ifi205	11.5	3	19	863.5	4	3011	0	734	139	67
4930430E12Rik	2	0	0	114	20.5	1671	10	5	231.5	16
Tlr8	45.5	6	4	199	2	3502.5	2	3132	223.5	4
Tnip3	6.5	9	8	2334.5	24	5417	27	95	458	44
Clec4e	44	1	2	2542.5	1958.5	10527	8.5	257	14977.5	120
Fcgr4	62.5	7	3	143	90.5	4374.5	1.5	501	1364	61
Dpep2	9	0	4	520.5	96.5	3474	53.5	171	686.5	34
Slamf8	29	10	26	289.5	0	1641	0.5	512	52.5	2
Tlr5	16.5	7	2	139.5	0.5	773.5	0	426	300.5	0
Clec5a	122	2	2	341.5	15.5	4515	1	6004	12658.5	25
Clec4a3	86.5	7	9	1865	9	4881	3	8007	337	70
F630040K05Rik	0	0	1	6.5	3	262.5	19.5	439	3.5	2
Cd300ld	75	10	8	283.5	501	5889	15.5	267	1237	27
Gm13986	8.5	1	0	19.5	164	408	1	1570	569	0
Tlr13	124	15	15	1609	1697.5	7193	9.5	5627	7527	34
Tpsb2	1.5	0	0	0	4.5	121	172287.5	0	0	0
Tph1	0	0	0	3.5	3	15	220972	2	0	0
Cma1	5	2	0	0	6.5	289	328426	0	1.5	1431
Tpsg1	0	0	0	1	4.5	3.5	20570	0	1.5	0
Fcer1a	30.5	0	1	34	91.5	70	100103	0	96.5	0
Ms4a2	78.5	2	1	117.5	1410.5	27.5	62351	34	500	0
Gzmb	12	34	77	8.5	13.5	91.5	25369	2	24.5	308805
Tal1	61	2	1	161	1028.5	90	16868	64	454	0
Cd200r3	78.5	172	17	70	1410.5	65	20929.5	24	315.5	2
Itga2b	145	125	117	817.5	21425	71.5	50525.5	30	2143	62
Rab44	367	3	5	1560	50039.5	113	35292	602	29302	0
Gm16194	47	0	0	147.5	5954	48	4998.5	1082	3420.5	2
Gfi1b	26.5	1	0	121.5	3959.5	9	1068.5	7	400.5	0
Cd200r4	18	244	258	106.5	3819.5	801.5	12286	487	1411	5931
Il4	4	35	0	101.5	3292.5	84	960	6	417	0
Rgs18	348	12	7	308.5	4820	334.5	10940.5	1312	2458	59
Tmigd3	3	1	1	90.5	1432.5	16.5	575.5	973	445	0
Gm5544	5	8	1	12	26.5	65	368.5	559	17.5	0
Tarm1	24	2	1	342.5	8691.5	413.5	3063.5	848	31344.5	12
Il9r	3715	315	38	671.5	3.5	8.5	927.5	1	33.5	0
Rasgrp4	424	152	64	1126	30959.5	481	10470.5	2877	16960.5	19
Gm13814	3	0	1	4	0	84.5	0.5	11688	19	3
Arhgef37	45	5	4	38.5	0	85.5	0	19165	22.5	53
Gm13817	0	0	0	2.5	0	13.5	0	1324	20.5	0
Prr33	3.5	2	2	6.5	0	20	0	1823	2	2
5730522E02Rik	5	3	3	87.5	2	44.5	18	6940	20	30
Bmx	40	2	5	32	2.5	16.5	0	3938	560.5	41
AI839979	24	2	3	43.5	33.5	330.5	9.5	4796	665.5	5
Skint3	15.5	8	2	205.5	3	502.5	0	2182	88	6
Gm9733	21	3	2	32.5	664	205	0	1531	785	39
Fer1l5	1.5	2	1	76	154	62	30	1023	121	6
Mfsd7a	23.5	5	3	1050.5	67	375	2.5	2080	606	9
Cd177	1061.5	46	4	535	55	13.5	0	1433	83935	25
Ifitm6	300	5	3	212	544	333.5	0	415	23962	58
Retnlg	707	7	5	373	1751.5	64.5	0	25	15297.5	168
Mcemp1	179.5	8	4	2735	129.5	689.5	0	2099	11651	36
Cxcr2	270.5	18	13	139.5	1474	19.5	4.5	118	20053	36
Gzma	62.5	44	192	74	0	41	0	5	5.5	937889
Klra7	17	6	151	7	0	12	0	2	6.5	51578
Klra13-ps	37	21	1782	18	0	9	0	7	10	84784
Klra8	16.5	7	39	26	0	7	0	4	17	46309
Gzmk	4	51	72	13.5	0	4	0	10	6.5	30864
Prf1	71	672	1991	17.5	0	62.5	0	0	10.5	95013
Ncr1	30	17	7	36	0.5	20	12	0	5	48493
Klrc1	16.5	79	157	179	0	57	0	2	3.5	30186
Klrg1	4.5	129	23	24	77.5	3.5	22	4	5.5	45153
Klre1	29	35	149	39.5	0	29.5	2	0	10.5	27979
Klri2	20.5	12	16	512.5	0	170.5	0	40	7.5	26116
Nkg7	105	315	6544	98.5	2642.5	10	8.5	34	1027.5	184298
Klrk1	48	159	137	612	2.5	734	0	139	39	47204
Sh2d1a	13	1437	1183	62.5	0	8	0	4	4	7597
Klrd1	89	564	6433	1902.5	12	318.5	0	38	57.5	44011
Ctsw	54	1251	8581	637	11	46	8	3	55.5	23715
Ms4a4b	217	21539	26999	625	2	99	0	1457	110.5	54043
Sh2d2a	1023	5567	5259	211.5	1	38.5	0	8	68.5	13087
Lck	1088	22333	24508	649	4	41.5	4.5	36	189	34669
Ccl4	19.5	4	62	4400.5	328	2606.5	176	128	15501.5	35502
Zap70	70	6815	6824	440	1.5	17	17	6	24	5209
Cd4	138.5	23697	33	1966.5	2	1513.5	14.5	32	51.5	0
Cd40lg	7	2228	21	12.5	0	3.5	0	0	1	0
Adgre1	352	25	21	2894	31541.5	21484	105.5	14866	16768	33
Itgax	181.5	118	319	3316	1823.5	13358.5	19	89	5767	10286
Itgam	1101.5	248	100	3152.5	60912	39940.5	36.5	44652	59723	14830
